Census_OSArchitecture,Census_OSBranch,Census_OSBuildNumber,Census_OSBuildRevision,Census_OSEdition,Census_OSSkuName,Census_OSInstallTypeName,Census_OSInstallLanguageIdentifier,Census_OSUILocaleIdentifier,Census_OSWUAutoUpdateOptionsName,Census_IsPortableOperatingSystem,Census_GenuineStateName,Census_ActivationChannel,Census_IsFlightingInternal,Census_IsFlightsDisabled,Census_FlightRing,Census_ThresholdOptIn,Census_FirmwareManufacturerIdentifier,Census_FirmwareVersionIdentifier,Census_IsSecureBootEnabled,Census_IsWIMBootEnabled,Census_IsVirtualDevice,Census_IsTouchEnabled,Census_IsPenCapable,Census_IsAlwaysOnAlwaysConnectedCapable,Wdft_IsGamer,Wdft_RegionIdentifier,HasDetections
amd64,rs3_release,16299,248,Professional,PROFESSIONAL,IBSClean,9,34,UNKNOWN,0,INVALID_LICENSE,Retail,,0,Retail,,,,0,,0,0,0,0,1,10,0
amd64,rs1_release,14393,1593,Professional,PROFESSIONAL,Update,8,31,FullAuto,0,IS_GENUINE,Retail,,0,Retail,0,500,14728,0,0,0,0,0,0,0,1,0
amd64,rs1_release,14393,2189,CoreSingleLanguage,CORE_SINGLELANGUAGE,Reset,8,31,UNKNOWN,0,IS_GENUINE,OEM:DM,,0,Retail,,556,63448,1,,0,0,0,0,0,1,1
amd64,rs4_release,17134,228,Core,CORE,UUPUpgrade,8,31,FullAuto,0,IS_GENUINE,OEM:DM,0,0,Retail,0,355,19973,1,0,0,0,0,0,0,10,1
amd64,rs4_release,17134,254,Professional,PROFESSIONAL,Upgrade,8,31,FullAuto,0,IS_GENUINE,Volume:GVLK,,0,Retail,,554,33116,0,,0,0,0,0,0,11,1
amd64,rs4_release,17134,285,Professional,PROFESSIONAL,UUPUpgrade,8,31,FullAuto,0,IS_GENUINE,Retail,,0,Retail,,628,37145,0,,0,0,0,0,0,3,0
amd64,rs3_release_svc_escrow,16299,431,CoreSingleLanguage,CORE_SINGLELANGUAGE,Other,8,31,UNKNOWN,0,IS_GENUINE,OEM:DM,,0,Retail,,554,33142,1,,0,0,0,0,0,8,1
amd64,rs4_release,17134,165,Professional,PROFESSIONAL,UUPUpgrade,9,34,FullAuto,0,INVALID_LICENSE,Retail,,0,Retail,,168,33264,0,,0,0,0,0,0,10,0
amd64,th2_release,10586,545,Core,CORE,Update,8,31,FullAuto,0,IS_GENUINE,Retail,0,0,Retail,0,554,33076,1,0,0,0,0,0,0,1,0
amd64,rs4_release,17134,112,Professional,PROFESSIONAL,UUPUpgrade,8,31,UNKNOWN,0,IS_GENUINE,Retail,,0,Retail,,355,19970,0,,0,0,0,0,0,2,0
amd64,th2_release,10586,420,Professional,PROFESSIONAL,IBSClean,1,5,UNKNOWN,0,IS_GENUINE,Volume:GVLK,,0,Retail,,355,4351,0,,0,0,0,0,1,11,1
amd64,rs4_release,17134,228,Professional,PROFESSIONAL,UUPUpgrade,10,35,FullAuto,0,IS_GENUINE,Retail,,0,Retail,0,142,33264,0,0,0,0,0,0,0,10,1
amd64,rs2_release,15063,250,CoreSingleLanguage,CORE_SINGLELANGUAGE,Other,8,31,Notify,0,IS_GENUINE,OEM:DM,,0,Retail,,142,62383,1,,0,0,0,1,0,11,1
x86,th2_release,10586,589,Core,CORE,Other,8,31,UNKNOWN,0,IS_GENUINE,OEM:DM,,0,Retail,0,142,12459,0,0,0,1,0,1,0,1,0
amd64,rs3_release_svc_escrow,16299,611,CoreCountrySpecific,CORE_COUNTRYSPECIFIC,Reset,37,158,UNKNOWN,0,IS_GENUINE,OEM:DM,,0,Retail,,93,32998,1,,0,0,0,0,,,0
amd64,rs3_release,16299,371,Core,CORE,Upgrade,4,24,Notify,0,IS_GENUINE,OEM:DM,,0,Retail,,556,63155,1,,0,0,0,0,1,15,0
x86,rs1_release,14393,2189,Core,CORE,IBSClean,26,119,UNKNOWN,0,IS_GENUINE,Retail,,0,Retail,,512,56303,0,,0,0,0,0,0,10,0
amd64,rs4_release,17134,228,Core,CORE,Reset,4,24,FullAuto,0,IS_GENUINE,Retail,,0,Retail,,556,64522,1,,0,0,0,0,1,15,1
amd64,rs4_release,17134,254,CoreSingleLanguage,CORE_SINGLELANGUAGE,Update,35,148,FullAuto,0,IS_GENUINE,OEM:DM,,0,Retail,,628,31879,1,,0,0,0,0,1,11,1
amd64,rs1_release,14393,2189,Core,CORE,Other,25,115,Notify,0,IS_GENUINE,OEM:DM,,0,Retail,,628,26080,1,,0,1,0,0,0,3,1
amd64,rs3_release_svc_escrow,16299,611,CoreSingleLanguage,CORE_SINGLELANGUAGE,UUPUpgrade,9,34,FullAuto,0,IS_GENUINE,Retail,,0,Retail,0,142,9685,1,0,0,0,0,0,0,10,0
x86,rs4_release,17134,228,Professional,PROFESSIONAL,Upgrade,8,31,FullAuto,0,INVALID_LICENSE,Retail,,0,Retail,,355,20394,0,,0,0,0,0,0,11,0
amd64,rs4_release,17134,285,Professional,PROFESSIONAL,UUPUpgrade,8,31,FullAuto,0,IS_GENUINE,Volume:GVLK,,0,Retail,,355,21034,0,,0,0,0,0,0,11,0
amd64,rs2_release,15063,1324,Core,CORE,Update,8,31,AutoInstallAndRebootAtMaintenanceTime,0,IS_GENUINE,OEM:DM,,0,Retail,,142,12459,0,,0,1,0,1,0,3,0
amd64,rs2_release,15063,250,CoreSingleLanguage,CORE_SINGLELANGUAGE,Reset,27,120,Notify,0,IS_GENUINE,OEM:DM,,0,Retail,,554,33054,1,,0,0,0,0,0,11,1
amd64,rs3_release_svc_escrow,16299,431,Core,CORE,Upgrade,8,31,Notify,0,IS_GENUINE,OEM:DM,,0,Retail,,628,10161,1,,0,1,1,0,0,1,0
x86,rs4_release,17134,165,Professional,PROFESSIONAL,UUPUpgrade,8,31,FullAuto,0,IS_GENUINE,Retail,,0,Retail,0,142,52570,0,0,0,0,0,0,0,11,0
amd64,rs3_release,16299,125,CoreSingleLanguage,CORE_SINGLELANGUAGE,Update,10,35,UNKNOWN,0,IS_GENUINE,OEM:DM,,0,Retail,0,142,7868,1,0,0,0,0,0,1,10,1
amd64,rs4_release,17134,165,Professional,PROFESSIONAL,Clean,14,49,FullAuto,0,IS_GENUINE,Retail,,0,Retail,,559,27974,0,,0,0,0,0,0,4,0
amd64,rs2_release,15063,1088,Professional,PROFESSIONAL,Other,8,31,Notify,0,IS_GENUINE,OEM:DM,,0,Retail,,677,9771,1,,0,1,1,1,0,1,0
x86,rs4_release,17134,191,Professional,PROFESSIONAL,Upgrade,29,125,FullAuto,0,INVALID_LICENSE,Retail,0,0,Retail,0,444,7172,0,0,0,0,0,0,0,3,1
amd64,rs4_release,17134,285,Core,CORE,UUPUpgrade,8,31,FullAuto,0,IS_GENUINE,OEM:DM,,0,Retail,,554,33145,1,,0,0,0,0,0,11,1
amd64,th1,10240,16384,EnterpriseSN,ENTERPRISE_S_N,IBSClean,8,31,UNKNOWN,0,INVALID_LICENSE,Volume:GVLK,0,0,NOT_SET,0,142,3364,0,0,0,0,0,0,1,3,1
amd64,rs3_release_svc_escrow,16299,431,CoreCountrySpecific,CORE_COUNTRYSPECIFIC,Upgrade,37,158,UNKNOWN,0,IS_GENUINE,Retail,,0,Retail,,142,52873,1,,0,0,0,0,0,7,1
amd64,rs3_release,16299,371,CoreSingleLanguage,CORE_SINGLELANGUAGE,Upgrade,8,156,Notify,0,IS_GENUINE,OEM:DM,,0,Retail,0,142,69919,0,0,0,0,0,0,1,1,1
amd64,rs4_release,17134,228,CoreSingleLanguage,CORE_SINGLELANGUAGE,Other,14,49,FullAuto,0,IS_GENUINE,OEM:DM,,0,Retail,,142,22211,0,,0,0,0,0,1,11,1
amd64,rs3_release,16299,371,Professional,PROFESSIONAL,Upgrade,20,83,UNKNOWN,0,IS_GENUINE,OEM:DM,0,0,Retail,0,486,48907,1,0,0,1,1,0,0,1,0
amd64,rs3_release_svc_escrow_im,16299,402,Core,CORE,Other,8,31,UNKNOWN,0,OFFLINE,OEM:DM,,0,Retail,,134,6895,1,,,0,0,0,0,10,1
amd64,rs4_release,17134,165,Professional,PROFESSIONAL,UUPUpgrade,5,26,FullAuto,0,IS_GENUINE,OEM:NONSLP,,0,Retail,0,142,3716,1,0,0,0,0,0,0,15,1
amd64,rs4_release,17134,228,Core,CORE,UUPUpgrade,8,31,FullAuto,0,IS_GENUINE,OEM:DM,,0,Retail,,355,7142,1,,0,1,0,0,0,13,0
amd64,th1,10240,16384,Core,CORE,IBSClean,26,119,UNKNOWN,0,INVALID_LICENSE,Volume:GVLK,0,0,NOT_SET,0,142,4753,0,0,0,0,0,0,0,10,0
amd64,rs2_release,15063,1209,Core,CORE,IBSClean,29,125,UNKNOWN,0,IS_GENUINE,Retail,,0,Retail,,127,63122,0,,0,0,0,0,,,0
amd64,th2_release,10586,318,Core,CORE,Update,5,26,FullAuto,0,IS_GENUINE,Retail,,,Retail,,556,64793,1,,0,0,0,0,0,6,1
x86,rs3_release,16299,431,Professional,PROFESSIONAL,Update,9,34,FullAuto,0,IS_GENUINE,Retail,,0,Retail,0,512,7414,0,0,0,0,0,0,0,10,1
amd64,rs4_release,17134,165,Core,CORE,Refresh,8,31,FullAuto,0,IS_GENUINE,Retail,,0,Retail,,355,20106,0,,0,0,0,0,0,8,0
amd64,rs3_release_svc_escrow,16299,547,Professional,PROFESSIONAL,IBSClean,8,31,UNKNOWN,0,IS_GENUINE,Retail,,0,Retail,,355,20050,0,,0,0,0,0,0,11,1
amd64,rs4_release,17134,165,Professional,PROFESSIONAL,UUPUpgrade,1,5,FullAuto,0,INVALID_LICENSE,Retail,,0,Retail,,355,2109,0,,0,0,0,0,1,11,0
amd64,rs3_release,16299,371,CoreSingleLanguage,CORE_SINGLELANGUAGE,UUPUpgrade,29,125,FullAuto,0,IS_GENUINE,Retail,0,0,Retail,0,554,33142,1,0,0,0,0,0,0,3,1
amd64,rs4_release,17134,191,Core,CORE,UUPUpgrade,8,31,FullAuto,0,IS_GENUINE,OEM:DM,,0,Retail,,628,11380,1,,0,0,0,0,0,15,0
amd64,rs3_release_svc_escrow,16299,431,Core,CORE,UUPUpgrade,20,83,Notify,0,IS_GENUINE,Retail,0,0,Retail,0,142,52138,1,0,0,0,0,0,0,1,0
amd64,rs4_release,17134,228,Professional,PROFESSIONAL,UUPUpgrade,8,31,FullAuto,0,INVALID_LICENSE,Retail,,0,Retail,,628,11948,0,,0,0,0,0,1,1,0
amd64,rs2_release,15063,850,Professional,PROFESSIONAL,Update,8,31,Notify,0,IS_GENUINE,Retail,0,0,Retail,0,142,56954,0,0,0,0,0,0,1,11,1
amd64,rs4_release,17134,254,Professional,PROFESSIONAL,IBSClean,24,109,FullAuto,0,IS_GENUINE,Volume:GVLK,,0,Retail,,152,45538,0,,0,0,0,0,0,15,0
amd64,rs3_release_svc_escrow,16299,547,Core,CORE,IBSClean,8,31,UNKNOWN,0,IS_GENUINE,Retail,,0,Retail,,142,51107,0,,0,0,0,0,1,13,1
amd64,rs4_release,17134,285,CoreSingleLanguage,CORE_SINGLELANGUAGE,IBSClean,29,125,UNKNOWN,0,IS_GENUINE,Retail,,0,Retail,,355,20106,1,,0,0,0,0,0,3,1
amd64,rs3_release,16299,309,CoreCountrySpecific,CORE_COUNTRYSPECIFIC,Reset,37,158,UNKNOWN,0,IS_GENUINE,OEM:DM,,0,Retail,,628,4262,1,,0,0,0,0,0,7,0
amd64,rs2_release,15063,1088,CoreSingleLanguage,CORE_SINGLELANGUAGE,Reset,9,34,Notify,0,IS_GENUINE,OEM:DM,,0,Retail,,556,63396,1,,0,0,0,0,0,10,0
amd64,rs4_release,17134,112,CoreSingleLanguage,CORE_SINGLELANGUAGE,UUPUpgrade,26,119,UNKNOWN,0,IS_GENUINE,OEM:DM,,0,Retail,,142,4357,1,,0,0,0,0,0,10,0
amd64,rs4_release,17134,165,CoreSingleLanguage,CORE_SINGLELANGUAGE,IBSClean,29,125,FullAuto,0,IS_GENUINE,OEM:DM,,0,Retail,,142,41972,1,,0,0,0,0,1,3,1
amd64,rs4_release,17134,1,CoreSingleLanguage,CORE_SINGLELANGUAGE,IBSClean,35,148,UNKNOWN,0,IS_GENUINE,OEM:DM,,0,NOT_SET,,513,7145,0,,0,0,0,0,,,1
amd64,rs4_release,17134,165,Professional,PROFESSIONAL,IBSClean,8,31,FullAuto,0,IS_GENUINE,Retail,,0,Retail,,,,1,,0,0,0,0,0,1,1
amd64,rs3_release_svc_escrow,16299,547,Professional,PROFESSIONAL,IBSClean,10,35,UNKNOWN,0,INVALID_LICENSE,OEM:NONSLP,,0,Retail,,,,0,,1,0,0,0,0,10,0
amd64,rs3_release_svc_escrow,16299,431,ProfessionalEducation,PROFESSIONAL,UUPUpgrade,8,35,UNKNOWN,0,IS_GENUINE,Retail,,0,Retail,,554,33115,0,,0,0,0,0,1,10,0
amd64,rs3_release,16299,309,CoreSingleLanguage,CORE_SINGLELANGUAGE,Upgrade,8,31,FullAuto,0,IS_GENUINE,Retail,,0,Retail,,127,64568,1,,0,0,0,0,0,11,0
amd64,rs4_release,17134,286,Core,CORE,UUPUpgrade,31,130,FullAuto,0,IS_GENUINE,Retail,,0,Retail,,500,15383,0,,0,0,0,0,0,3,1
amd64,rs3_release_svc_escrow,16299,431,Core,CORE,Update,30,128,Notify,0,IS_GENUINE,OEM:DM,,0,Retail,,628,8789,1,,0,0,0,0,1,3,0
amd64,rs4_release,17134,1,Professional,PROFESSIONAL,IBSClean,10,35,UNKNOWN,0,IS_GENUINE,Retail,,0,NOT_SET,,355,20765,0,,0,0,0,0,,,0
amd64,rs3_release,16299,371,Core,CORE,Update,18,72,FullAuto,0,IS_GENUINE,Retail,,0,Retail,,556,7371,1,,0,0,0,0,0,15,1
amd64,rs4_release,17134,228,Professional,PROFESSIONAL,Reset,8,156,FullAuto,0,IS_GENUINE,Retail,,0,Retail,,355,19951,0,,0,0,0,0,1,1,1
amd64,rs4_release,17134,286,Core,CORE,Clean,18,72,FullAuto,0,IS_GENUINE,Retail,,0,Retail,,554,33066,1,,0,0,0,0,0,15,1
amd64,th1_st1,10240,17443,Core,CORE,Update,8,31,FullAuto,0,IS_GENUINE,Retail,,0,NOT_SET,0,556,13893,1,0,0,0,0,0,0,13,0
amd64,rs3_release,16299,309,Core,CORE,Update,8,31,Notify,0,IS_GENUINE,OEM:DM,,0,Retail,,628,12198,1,,0,0,0,0,1,11,1
amd64,rs4_release,17134,1,CoreSingleLanguage,CORE_SINGLELANGUAGE,Reset,26,119,UNKNOWN,0,IS_GENUINE,Retail,,0,Retail,,355,19970,1,,0,0,0,0,0,10,0
x86,rs3_release,16299,371,Professional,PROFESSIONAL,IBSClean,29,125,UNKNOWN,0,INVALID_LICENSE,Retail,,0,Retail,,803,13299,0,,1,0,0,0,0,3,0
amd64,rs4_release,17134,285,Professional,PROFESSIONAL,UUPUpgrade,8,31,FullAuto,0,INVALID_LICENSE,Volume:GVLK,,0,Retail,,355,20317,0,,0,0,0,0,1,11,1
amd64,rs2_release,15063,608,Core,CORE,Upgrade,19,74,FullAuto,0,IS_GENUINE,Retail,,0,Retail,,691,49524,0,,0,0,0,0,1,9,1
amd64,th2_release_sec,10586,1176,CoreSingleLanguage,CORE_SINGLELANGUAGE,Other,9,34,UNKNOWN,0,IS_GENUINE,OEM:DM,,0,Retail,0,628,26164,1,0,0,0,0,0,0,10,0
x86,rs1_release,14393,321,Professional,PROFESSIONAL,Update,8,31,FullAuto,0,IS_GENUINE,Retail,,0,Retail,0,798,6958,0,0,0,0,0,0,0,11,0
amd64,rs3_release,16299,309,Core,CORE,UUPUpgrade,14,49,Notify,0,IS_GENUINE,Retail,,0,Retail,0,554,33198,0,0,0,0,0,0,0,15,0
x86,rs4_release,17134,228,Core,CORE,Clean,1,5,FullAuto,0,IS_GENUINE,Retail,,0,Retail,,809,46182,0,,0,0,0,0,1,11,1
x86,rs3_release,16299,431,Professional,PROFESSIONAL,Upgrade,14,49,Off,0,IS_GENUINE,Retail,,0,Retail,,500,41729,0,,0,1,0,0,0,11,0
amd64,rs3_release_svc_escrow,16299,611,CoreSingleLanguage,CORE_SINGLELANGUAGE,Reset,10,35,UNKNOWN,0,IS_GENUINE,OEM:DM,,0,Retail,,554,33100,1,,0,0,0,0,0,10,1
amd64,rs3_release_svc_escrow,16299,547,CoreCountrySpecific,CORE_COUNTRYSPECIFIC,UUPUpgrade,37,158,UNKNOWN,0,IS_GENUINE,OEM:DM,,0,Retail,,513,71061,1,,0,0,0,0,1,7,0
amd64,th2_release,10586,420,CoreSingleLanguage,CORE_SINGLELANGUAGE,Update,9,34,FullAuto,0,IS_GENUINE,Retail,,0,Retail,0,554,33144,0,0,0,0,0,0,0,10,0
amd64,rs4_release,17134,285,Professional,PROFESSIONAL,Upgrade,9,34,UNKNOWN,0,INVALID_LICENSE,Retail,0,0,Retail,0,803,13299,0,0,1,0,0,0,0,10,0
amd64,rs1_release,14393,0,Professional,PROFESSIONAL,IBSClean,39,160,UNKNOWN,0,IS_GENUINE,Retail,,0,Retail,,142,35446,0,,0,0,0,0,1,7,1
x86,rs3_release,16299,125,Core,CORE,Upgrade,26,119,Notify,0,IS_GENUINE,Retail,0,0,Retail,0,512,63155,0,0,0,0,0,0,0,10,1
amd64,rs1_release,14393,1593,CoreSingleLanguage,CORE_SINGLELANGUAGE,Other,10,35,Notify,0,IS_GENUINE,OEM:DM,,0,Retail,,554,33111,1,,0,0,0,0,1,10,1
amd64,rs3_release_svc_escrow,16299,547,Core,CORE,Upgrade,1,5,UNKNOWN,0,IS_GENUINE,OEM:DM,,0,Retail,,556,63175,1,,0,0,0,0,0,15,1
amd64,rs2_release,15063,1206,Core,CORE,Update,8,31,Notify,0,IS_GENUINE,Retail,,0,Retail,0,628,12952,0,0,0,0,0,0,0,1,1
