class_name,width,height,bbox_x,bbox_y,bbox_w,bbox_h,bbox_size,occlusion,truncation,crowding,length,x,y,z,yaw,object_amount,brightness,rms_contrast,mean_red_relative_intensity,mean_blue_relative_intensity,mean_green_relative_intensity
truck,3.016268203,4.376639088,1816.810573,499.4154489,26.50220264,58.05845511,1538.676943,0,0,0,9.707577082,101.9076794,2.006687753,1.636526698,-0.006336654,4,151.6165771,9.00699234,0.356296211,0.356296211,0.339145839
rider,0.8,1.6,831.3666559,526.3182632,53.62320051,60.79903476,3260.238832,0,0,0,1.773852986,25.46778023,26.44791437,0.280840925,-1.403646426,10,156.0545959,8.690724373,0.34006232,0.34006232,0.340714902
car,1.8,1.764805928,150.0789177,554.7895792,147.9143179,70.70140281,10457.74977,0,0,1,4.458999441,33.39573403,-5.310703407,0.520616364,-1.49802139,4,148.3769073,9.574447632,0.353488892,0.353488892,0.33898592
car,1.8,1.469272182,1352.983673,462.3655646,367.9291638,254.1846301,93521.93842,0,0,1,4.544513761,10.71253445,3.116972063,0.445469762,-0.039843978,2,148.9205627,11.61063194,0.34458223,0.34458223,0.339428484
car,1.8,1.6,251.7217168,556.6891786,49.59139878,28,1388.559166,1,0,1,4.2,80.41847168,-17.13294098,1.306251068,-0.79343047,5,156.3676453,10.76538181,0.348362893,0.348362893,0.339704365
bus,2.847591118,3.379529616,99.64782206,427.0181219,169.0454124,195.7166392,33084.99999,0,0,0,11.71433886,-20.41425254,4.010939417,1.510431577,3.129659369,4,149.0126038,11.53239727,0.355363101,0.355363101,0.334620446
truck,1.916740021,1.758160846,1858.996656,522.3476969,37.72575251,51.35215453,1937.298673,0,0,0,4.315484619,45.08558971,-0.751524133,0.477283952,-0.034370414,4,155.8693695,9.977812767,0.344735593,0.344735593,0.338726133
car,1.743323017,1.398997571,1241.793626,450.9938034,219.3755375,79.78122032,17502.0481,0,0,0,4.531039747,-19.0536104,-13.26953574,0.588480774,1.588249619,3,148.3626251,10.23312092,0.352560282,0.352560282,0.339742035
car,1.8,1.6,1520.407119,466.0407175,70.16284772,25.28053812,1773.754546,1,0,1,4.2,-75.25278962,-29.50327033,1.052596355,-1.577993191,10,150.8466949,11.90537548,0.351139098,0.351139098,0.339947641
car,1.974796052,2.21638244,0,497.0121622,40.01216306,148.9391891,5959.379121,0,1,0,4.1671875,23.69286208,0.635815614,0.839895759,-0.019751004,3,146.9578247,9.29112339,0.351488292,0.351488292,0.339021146
pedestrian,0.631166281,1.661932585,1530.784456,498.7948202,33.29168698,72.6675353,2419.224839,2,0,0,0.6,27.89108887,8.141398971,0.71882922,2.766818129,7,150.8025208,12.93329334,0.344665617,0.344665617,0.340741426
rider,0.8,1.6,729.4715719,410.9393579,127.1438127,143.8287753,18286.93886,1,0,0,1.748606811,-3.906110584,-11.75021462,0.632315616,-3.127847815,14,142.4861298,12.47143555,0.349380493,0.349380493,0.339744449
pedestrian,0.6,1.6,1874.703196,572.1515562,17.53424658,53.34235453,935.3179973,2,0,0,0.6,2.964088584,28.77063054,0.175878935,1.570796327,4,152.9019775,13.28809929,0.344513118,0.344513118,0.340073258
truck,1920,1080,1861.378476,515.9161741,20.89480048,29.01665771,606.2972736,0,0,1,,,,,,10,153.5926971,11.04030704,0.348194301,0.348194301,0.33893466
truck,1.771104231,2.0546875,18.26397146,555.6893819,34.8156956,54.77020602,1906.862821,0,0,0,6,47.63682185,0.516718215,0.78196353,0.01133096,4,142.7851257,11.46981907,0.351957977,0.351957977,0.338087916
car,1.8,1.6,61.18192352,555.8578053,22.24797219,23.92581144,532.3007875,0,0,0,4.2,-83.80769441,2.973600124,0.500787446,-0.013504765,3,150.7384644,12.3740921,0.354237378,0.354237378,0.335024327
truck,2.059134739,1.8671875,78.19262782,524.3106181,81.61712247,115.8161648,9452.582108,0,0,0,6,24.91861893,-2.052854579,0.807958034,-0.039846008,4,143.4021912,11.63939571,0.351235628,0.351235628,0.338439912
car,1.8,1.6,206.9950366,574.879438,33.42067864,26.25810953,877.5638405,1,0,0,4.2,66.50839818,-11.4035533,0.023898516,0.04063547,3,157.5761261,9.056288719,0.3443878,0.3443878,0.340161443
truck,2.804726424,3.298028507,1822.059673,438.8366125,44.35033686,64.67065868,2868.165498,0,0,0,14.947268,-69.92180307,-6.727864981,1.688894603,-0.003675803,1,148.1974792,14.43479156,0.354692578,0.354692578,0.338095874
pedestrian,0.6,1.6,1234.143872,566.8917955,17.85612764,54.43876338,972.0655074,1,0,0,0.6,-15.60452427,30.23120396,0.032381299,0.010553698,5,150.3750763,13.29778767,0.341052264,0.341052264,0.340296268
truck,2.862061803,3.689543723,1783.27654,500.5900621,26.84141547,52.82608696,1417.926947,0,0,0,11.89950833,108.4308146,5.818398634,1.607198887,3.139657695,3,159.5904083,8.807730675,0.354830831,0.354830831,0.339244485
tricycle,1.3,1.4,979.955619,511.5826397,102.8916603,82.41736029,8480.059036,1,0,0,2.8,22.62977413,16.73969258,0.562786815,0.026601939,8,153.1926422,10.11201096,0.349026501,0.349026501,0.339887828
car,1.83921571,1.405342486,1699.641417,470.9784691,46.70045381,21.09052753,984.9372066,1,0,0,4.2,-83.22610567,-18.90708831,0.935314199,-0.861229033,3,152.108429,11.09130859,0.348677546,0.348677546,0.33984077
car,1920,1080,1032,490.9473684,23.15789474,21.05263158,487.534626,1,0,0,,,,,,6,152.1546478,10.39650917,0.348439693,0.348439693,0.340373307
car,1.261438844,1.505411976,529,321,937.4639852,759.7213807,712211.4332,0,1,0,2.524912262,5.615506922,-3.166966946,0.466858876,-0.017619322,2,151.2746124,11.9743185,0.349877596,0.349877596,0.336486995
truck,2.69534591,3.689167555,722.768712,411.2001748,323.5947524,178.8523187,57875.67179,1,0,1,9.111626515,-15.40042426,-24.18865128,0.381914245,-1.568375297,3,151.9077148,12.24660015,0.347951412,0.347951412,0.340812325
car,1.8,1.485850178,33.52585628,565.4686567,41.90732035,52.22686567,2188.687991,0,0,0,4.2,39.50614329,-0.509480482,0.389731312,2.22E-16,5,145.4031067,11.65527725,0.351771384,0.351771384,0.338216782
car,1.8,1.833926821,1615.472673,468.3187562,139.9461808,158.6812438,22206.83405,0,0,0,4.2,19.67885719,3.431967138,0.632681487,3.129365817,3,151.0585938,11.01039505,0.351099193,0.351099193,0.339255303
bus,1920,1080,1869.842037,519.5153789,18.47501209,30.23943271,558.6738847,0,0,0,,,,,,10,156.0753937,8.700166702,0.340119839,0.340119839,0.340714484
car,1.8,1.6,634.9783958,272.7191458,1284.021604,807.2808542,1036566.057,0,1,0,4.2,3.189721048,-3.311268331,0.485399598,0.004069437,4,148.3854675,9.563126564,0.353477627,0.353477627,0.338991553
truck,2.44449638,3.118553163,265.0618867,537.2537869,53.95355975,41.94114726,2262.874194,0,0,0,8.512409283,-92.885976,24.56207429,1.345992477,-0.679818586,12,154.6140289,10.51431847,0.344881386,0.344881386,0.340319395
truck,1.771104231,2.0546875,1834.595318,507.2532699,32.10702341,55.86206897,1793.564756,0,0,0,6,50.71982618,0.617446269,0.980969822,0.01133096,2,152.3371277,12.11359596,0.35031271,0.35031271,0.339026749
car,1.668966002,1.476978229,364.5044567,500.825919,290.5264555,164.0711778,47667.01773,1,0,0,4.2,-7.658472151,6.064268906,0.591585195,3.141592654,4,151.3146362,12.80478001,0.34689647,0.34689647,0.338195562
car,1.611502446,1.394017406,1850.887053,500.2320651,69.11294707,126.6432915,8752.691103,0,1,1,4.2,17.97510046,-0.188026164,0.421584006,-0.011639662,4,155.680191,8.53413868,0.346433967,0.346433967,0.340365231
car,1.96501255,1.6,542.0114379,556.9033491,112.9233517,50.9635902,5754.97942,1,0,1,4.2,41.04505134,-20.70794635,0.451716921,-1.219599502,11,153.4238892,10.16164303,0.344277561,0.344277561,0.338186324
car,1.8,1.6,96.82975464,558.32283,108.2220888,49.78735505,5388.091557,1,0,0,4.709297455,43.75376508,-2.314886899,0.616917874,1.277434786,8,153.4692688,9.789191246,0.342280895,0.342280895,0.339743942
car,1.8,1.586081468,638.170173,323.6170213,1279.829827,755.3829787,966761.667,0,1,0,4.553728066,1.235187603,3.85325322,0.502213493,-0.031118356,5,148.0852966,14.20570946,0.351820558,0.351820558,0.335194975
truck,2.249005805,2.400540829,909.7461132,498.8482741,223.2538868,99.88229451,22299.11048,1,0,1,6.365386963,-18.26761823,24.39760106,1.463624215,-3.141592654,12,154.6140289,10.51431847,0.344881386,0.344881386,0.340319395
car,1.594330972,1.417546799,0,536.5692503,49,145.4637865,7127.72554,0,1,1,4.11642,16.04676698,0.160402133,0.44078385,0.002925149,1,157.4591217,10.31955433,0.347355902,0.347355902,0.340265661
car,1.8,1.673858687,1863.64965,463.133249,31.57092311,40.39115062,1275.18591,0,0,0,4.2,-49.90546736,-3.329699993,0.919491128,0.020208823,3,153.5182343,10.06686878,0.34579134,0.34579134,0.339991182
pedestrian,0.868620036,1.690165335,1431.082828,485,37.30404014,97.26254838,3628.286009,2,0,0,0.733932808,22.53806878,8.424876584,0.686851857,2.947779087,7,150.8025208,12.93329334,0.344665617,0.344665617,0.340741426
car,1.8,2.002555911,240.0754481,562.2680436,62.29894855,57.42832744,3577.724417,0,0,0,4.2,-41.22986989,8.366161208,-0.05301745,2.596279114,4,150.5885468,8.864303589,0.343295991,0.343295991,0.340488195
car,0.973561864,1.498590805,1804.731314,527.3597033,109.2686864,109.6402967,11980.25119,0,0,0,2.210409038,2.846598713,18.95678859,0.767057988,2.906741951,3,154.6355896,11.1248827,0.35109061,0.35109061,0.339241117
car,1.8,1.757738269,605.215528,564,96.02160417,44.95356345,4316.513275,0,0,0,4.563455944,50.90910151,-27.85567521,0.388948127,-1.399149689,4,151.0582428,8.209212303,0.354121596,0.354121596,0.339134723
car,1.8,1.6,0,541.9878378,49.03648919,87.94144556,4312.339745,0,1,0,4.2,29.36433902,0.493397726,0.710201933,0.009638256,5,156.9828949,10.03378391,0.3467893,0.3467893,0.339172512
truck,1.916740021,1.758160846,44.12870873,563.268945,36.9076473,51.35215453,1895.287208,0,0,0,4.315484619,44.5119575,-0.793243678,0.523504747,-0.034370414,2,153.1946259,11.05884647,0.348132432,0.348132432,0.339003235
truck,2.3,2.5,93.48314607,547.446505,34.4141252,42.11126961,1449.222505,0,0,0,6,-63.66669824,5.460913181,0.923803004,-3.073899631,2,142.4638824,12.25543976,0.349300444,0.349300444,0.338196784
car,1920,1080,1185.504342,535.525311,142.2392977,48.4642234,6893.517098,1,0,1,,,,,,13,156.0494385,11.06492901,0.344893128,0.344893128,0.338701725
pedestrian,0.6,1.6,910.5007281,525.0247548,11.49927188,38.49490342,442.6633606,2,0,0,0.6,42.53225358,40.80788561,0.442285241,3.105672151,4,148.0747223,11.7248621,0.349274039,0.349274039,0.339658886
car,1.8,1.698106548,58.32779177,544.4262495,37.63938631,38.9671881,1466.701046,0,0,1,4.2,-54.07772947,2.605145603,0.778521421,-3.141592654,2,143.9714355,11.47040939,0.349941552,0.349941552,0.338190258
pedestrian,1920,1080,571.5450843,566.6352539,12.18440956,28.91389997,352.2987992,1,0,1,,,,,,4,151.9221497,13.07509327,0.346190363,0.346190363,0.339244634
car,1.8,1.6,1827.747748,500.9606987,64.47174447,86.4628821,5574.412841,0,0,0,4.2,29.59378568,0.501554786,0.627902688,0.009638256,4,156.4388885,8.68362999,0.355860502,0.355860502,0.339398474
car,1.8,1.47660281,1694.737564,517.9255644,148.1989708,77.75472849,11523.17074,0,0,0,4.047083029,27.20725171,2.57313111,0.407697338,2.354680377,7,153.9411011,11.5629921,0.352548659,0.352548659,0.343391985
rider,0.8,1.670140216,1239.409747,436.3690302,51.65892615,90.58208788,4679.373388,2,0,2,1.822338796,-13.80236114,-12.70922965,0.702933027,0.001163553,5,153.0911255,11.46717834,0.351549745,0.351549745,0.339069426
truck,1920,1080,1799.836735,516.2756953,22.20408163,39.61305925,879.5716013,0,0,0,,,,,,8,156.8061218,9.498175621,0.342492551,0.342492551,0.339553684
bicycle,0.348344371,1.057928251,938.7567438,460.6399813,74.13863507,68.0461682,5044.850032,,,,2.04507251,-10.91867936,-15.29242308,0.583903792,0.137788,4,148.5101471,10.33485699,0.352875561,0.352875561,0.339808494
bus,1920,1080,80.70104785,558.0430253,19.22362286,29.92081044,575.1863755,0,0,0,,,,,,1,158.3739471,8.296322823,0.339401275,0.339401275,0.339739561
car,1.8,1.6,961.1093143,557.0742435,37.24084997,33.048048,1230.737397,0,0,1,4.2,44.05522539,42.31190634,-0.833591631,0.759003292,20,156.0965118,10.64313889,0.34639591,0.34639591,0.340020239
truck,2.739726785,3.470734245,310.917672,161.6251863,1133.082328,571.1275403,647134.523,1,0,0,17.06911615,-8.034989555,7.639994076,1.491731094,3.128564075,3,145.3309937,11.78859615,0.353054285,0.353054285,0.338665813
tricycle,1.3,1.69135539,1255.189322,483.3668801,157.7040936,146.1241996,23044.38444,0,0,0,2.921398132,17.76666372,8.229066917,0.542753738,-3.117999221,2,150.776886,11.48423195,0.349465132,0.349465132,0.33975789
bus,2.703976136,3.194098827,1437.531256,335.7688504,282.06673,296.7842519,83712.96345,0,0,0,8.276971093,19.39713678,4.67542458,1.35694936,-3.123705702,3,151.1869202,12.06580925,0.347087115,0.347087115,0.339572638
car,1.8,1.87890625,1831.72987,513.1932579,32.16623377,51.86792888,1668.395925,0,0,0,4.2,50.44404479,0.648068157,0.757652233,0.005083775,3,155.9509277,9.063059807,0.354926109,0.354926109,0.339226365
car,1.8,1.6,684.1572809,559.1114306,53.46037033,30.56819768,1634.187168,0,0,1,4.2,-50.95751636,37.11646712,0.464860222,2.758296481,9,153.1361847,7.894295692,0.343462974,0.343462974,0.341389358
rider,0.8,1.6,838.0938844,550.8503324,12.66253225,25.14292292,318.3730724,0,0,0,1.6,-63.00478127,55.53084805,1.196200773,2.572443873,10,153.4065094,10.25218868,0.346315116,0.346315116,0.339740783
car,2.117193391,1.562499039,1467.667022,564.5777079,48.62121727,28,1361.394084,1,0,0,4.2,-27.73741302,80.05278918,0.569828117,1.500983157,4,154.0681305,11.21300888,0.353225678,0.353225678,0.335899711
rider,0.534185304,1.6,391.3792649,551.1219232,11.06538829,26.00302741,287.733595,2,0,0,1.007028754,-74.39035188,27.29337866,0.751611872,0.740692046,11,152.7096405,11.28906727,0.34124437,0.34124437,0.341459155
truck,1920,1080,70.1686747,544.0485541,41.25301205,23.52017137,970.2779128,0,0,0,,,,,,2,151.4757385,13.46480846,0.346476763,0.346476763,0.3389844
car,1.8,1.6,41.20637561,555.0825418,22.61795892,25.63031981,579.7055205,0,0,0,4.2,-71.40103729,0.846392419,0.6391649,-0.063178256,3,145.2304993,9.343593597,0.344883621,0.344883621,0.334777236
car,1.8,1.6,1857.137828,478.6478873,28.38936807,24.67605634,700.5376459,1,0,0,4.2,-71.84052042,-4.793227712,0.602606656,0.067577379,1,157.0285339,11.26439095,0.346320808,0.346320808,0.341565311
bicycle,0.626837061,0.998402556,328.6666322,580.3594583,29.46637063,27.27101503,803.5778364,,,,1.4,56.57251357,-15.65324908,-0.026998682,-1.871818501,13,153.3756104,9.305609703,0.343502671,0.343502671,0.33835116
truck,2.458751334,3.71875,1479.579284,427.4692822,181.9144852,167.5655504,30482.60083,0,0,0,11.16775461,33.9951194,8.630141307,1.493608111,3.100937102,1,156.2486267,9.787532806,0.347648174,0.347648174,0.339921474
truck,1.8,1.698519584,33.627484,566.1759425,32.98080162,45.24236984,1492.129624,0,0,0,4.72766122,51.3184737,-0.075986855,0.450840326,-0.00724625,2,155.9320526,10.4813118,0.347166151,0.347166151,0.339105397
truck,3.070268881,3.769649219,110.5479452,530.6524634,31.23287671,47.66216473,1488.626515,0,0,0,15.0821273,-105.6419336,9.161442118,1.694381357,3.131449419,4,146.5267181,12.58933258,0.353477418,0.353477418,0.336559117
truck,2.010819252,2.393275346,1329.773873,489.9132977,175.8998795,122.0867023,21475.03622,0,0,1,6,-7.562137627,25.41686545,1.242783029,-1.712647559,12,153.7659302,10.48515987,0.34536469,0.34536469,0.339972019
pedestrian,0.632141481,1.6,1006.813354,427.0446454,58.91084966,140.3969032,8270.900855,2,0,0,0.506835185,-9.336878296,-12.19146642,0.632987158,0.057613904,9,153.2472839,9.284191132,0.34615314,0.34615314,0.340030015
car,1.8,1.444585664,1878,435.7158145,42.3812709,173.3650416,7347.430794,0,1,1,4.2,-8.476157917,-0.540710196,0.442454786,-4.44E-16,1,150.9423218,13.91010952,0.355242282,0.355242282,0.339863509
car,1.742622256,1.83576995,1852.396322,517.1464614,36.09457999,60.2545667,2174.863278,0,0,0,4.2,44.5478882,-0.444882912,0.419726398,-0.00921378,4,147.8700104,12.61693192,0.348568618,0.348568618,0.338320017
truck,2.725951353,2.375459558,337.0185156,545.7213807,68.32201266,43.27861932,2956.882377,0,0,0,8.361746471,-69.4032795,24.32299433,0.751443971,-0.676251967,13,153.9338989,10.65158176,0.345444441,0.345444441,0.340069979
truck,2.99229109,3.691225273,131.1055505,518.5274905,80.3300432,73.31301034,5889.237288,0,0,0,16.70976387,-60.38137015,8.592847561,1.537718561,-3.141592654,2,153.6551971,9.912022591,0.349661291,0.349661291,0.337896079
truck,2.175003222,2.097576107,601.9558965,495.3452685,349.7603068,152.8388747,53456.9717,1,0,0,5.775784562,-9.682202398,11.39143812,0.847369813,3.102777208,14,150.8350067,12.75221729,0.348405153,0.348405153,0.338235229
car,1.8,1.746924305,1795.027208,528.9467808,22.90498116,25.7238556,589.204428,0,0,1,4.2,94.79200132,4.389626824,0.434130636,3.117421538,4,149.7203522,9.60934639,0.354579747,0.354579747,0.338692158
truck,2.3,3.17541907,1796.20438,380.627027,87.59124088,156.4540541,13704.00473,0,0,0,6,-25.18197347,-3.262563843,1.378880624,0.009280476,5,141.6829529,12.09205627,0.349867582,0.349867582,0.339785427
car,1.871406693,1.663310854,1841.758821,463.6344657,33.47450154,41.4667769,1388.079687,0,0,0,4.2,-48.19055824,-4.200117662,0.804072107,0.006224494,8,153.5415649,10.06553936,0.34614405,0.34614405,0.339955807
car,2.002027398,1.6,1336.310989,564.8736658,44.60544503,26.12633419,1165.376764,2,0,0,4.2,-37.82645135,80.10732082,0.537901196,1.412206431,6,155.1959991,11.9058075,0.353511572,0.353511572,0.336253911
pedestrian,0.73664741,1.784713835,377,551.050055,13,41.01251374,533.1626787,2,0,0,0.576358322,49.1713817,-15.4615492,0.855708419,0.002475242,6,150.7981567,10.06646919,0.359321713,0.359321713,0.336605489
truck,2.699855987,3.922412843,619.1161106,205.3923705,826.9687957,468.6076295,387523.887,0,0,0,10.82637258,14.421125,8.482269044,1.636489856,3.112509947,6,152.7543793,10.62514591,0.347655565,0.347655565,0.340572059
truck,2.242499315,2.34476414,1549.814254,488.8735652,169.051403,129.1264348,21829.00496,0,0,0,7.048197332,-2.56379678,25.11387696,1.350625981,-1.669417508,12,153.7648163,10.46308708,0.345349669,0.345349669,0.339942008
car,1.8,1.440905016,1580.952608,511.6092736,86.83313518,64.32290133,5585.359187,1,0,0,4.2,31.40954401,6.960555553,0.570772294,3.045790728,3,157.1344147,9.373668671,0.358135998,0.358135998,0.339465886
car,1.8,1.571132468,1532.929078,477.2295544,75.01633163,39.64124787,2973.740997,0,0,0,4.2,-45.25871456,-16.34086496,0.188463588,-2.354791951,9,154.6547089,12.11476994,0.342162848,0.342162848,0.340992808
car,1.879112765,1.6,583.6429671,557.0660105,38.1436776,26.80324655,1022.374395,1,0,0,4.2,-55.24745538,32.94575839,0.703274611,2.569844269,9,153.1361847,7.894295692,0.343462974,0.343462974,0.341389358
car,1.8,1.6,2.665015318,539.3325093,30.33498468,109.4684796,3320.724652,0,1,0,4.2,21.85193665,0.723126999,0.690579369,-0.075499392,4,150.8500214,8.261419296,0.354135126,0.354135126,0.339134604
car,1.8,1.911856113,61.01290963,551.1241907,17.79543198,22.88404944,407.2315452,0,0,0,4.2,-103.1745712,3.085035232,0.87997718,3.082980159,5,135.7686615,10.70360661,0.341958493,0.341958493,0.34270227
rider,0.8,1.6,1537.037127,508.364913,58.09895414,68.83508545,3999.246472,0,0,0,1.6,31.88388354,9.323841951,0.636588866,-1.270666502,10,155.9689484,8.683554649,0.340121359,0.340121359,0.340700328
truck,2.69534591,3.689167555,1290.984455,441.2477687,215.0155452,100.3420823,21575.10753,1,0,1,9.111626515,-41.9030488,-24.50448446,0.519908774,-1.554898096,2,149.3251038,11.80086422,0.349948972,0.349948972,0.340803623
pedestrian,0.6,1.6,1077.218935,438.433108,22.60338604,59.00332958,1333.675036,2,0,0,0.6,-24.85563678,-25.99595135,1.34742842,-0.011267129,14,142.4861298,12.47143555,0.349380493,0.349380493,0.339744449
bus,2.820306087,3.145926471,1749.558168,394.001442,119.0758006,145.6092286,17338.53546,0,0,0,10.37404709,-29.37913026,-4.497208434,1.096750286,-0.043254018,5,152.5079956,10.51301956,0.348179817,0.348179817,0.340399534
car,1.8,1.840104276,818.0130369,483.5692637,248.9822653,98.75771082,24588.91855,2,0,0,4.317349451,18.73568186,14.53634771,0.614153741,-3.138112223,3,153.2805176,9.262174606,0.349266738,0.349266738,0.339174122
car,2.054851146,2.257786703,0,479.6691144,108.1078421,181.3308856,19603.29074,0,1,0,4.2,20.0850139,-0.623994329,0.842257524,-0.002002874,4,147.8887482,9.441053391,0.351301461,0.351301461,0.338677824
car,1.8,1.527822985,1020.62603,529.9389827,280.0702988,103.748023,29056.73981,1,0,0,4.483392334,-7.304375773,15.57544841,0.555855646,3.036930013,3,149.4730835,13.4668951,0.345594764,0.345594764,0.33915785
car,1.8,1.87890625,1833.453055,505.1724877,36.56261299,59.93571888,2191.406494,0,0,0,4.2,45.2780835,0.579330277,0.821183812,0.005083775,4,152.5293121,9.564990997,0.353253782,0.353253782,0.339214504
truck,2.637480614,3.744035674,1866.771294,369.9334911,53.88564715,163.5239222,8811.592373,0,1,1,10.64167253,-29.02710631,-1.200375872,1.584024105,0.01269773,2,141.3346252,9.901960373,0.352757007,0.352757007,0.338633597
tricycle,1.3,1.627117924,95.54335895,559.3233572,13.34796926,23.89069616,318.8922781,0,0,0,2.8,-88.98916613,6.033792691,0.174692113,3.088333838,2,156.9644012,10.59568977,0.349878907,0.349878907,0.339849323
truck,1.801088423,2.047629576,1836.521739,489.0366748,49.66428178,83.97066015,4170.342527,0,0,0,5.341161081,34.37972817,0.280823354,0.936606702,2.22E-16,2,153.2861328,9.664709091,0.349657208,0.349657208,0.339353532
truck,1.765174059,1.867916882,1837.307473,456.2068966,39.97718197,55.31440162,2211.313899,0,0,0,4.674811087,-41.40962789,-3.876949764,0.882986131,0.006905181,3,141.8835449,13.99544525,0.34854275,0.34854275,0.339095771
car,1.8,1.6,21.40319097,555.4150057,139.4050024,75.58499427,10536.92631,0,0,0,4.2,30.60629518,-1.968729002,0.41982828,2.089465005,16,152.4670563,13.46244526,0.345648646,0.345648646,0.338936746
truck,2.517587803,3.30637809,673.8211156,507.8082778,62.17888438,84.31310317,5242.494693,0,0,0,7.364482969,-36.17802224,26.51553158,1.651023383,-0.598792501,12,154.4589081,10.63659477,0.34495151,0.34495151,0.34028846
car,1.8,1.701944647,403.5553543,558.2865621,151.4446457,63.0677121,9551.267316,0,0,0,4.651657959,35.15348371,-14.4565824,0.406492908,1.874532525,16,152.4670563,13.46244526,0.345648646,0.345648646,0.338936746
car,1.8,1.343758679,1850.116659,481.6256566,20.30797947,21.79706939,442.6544377,1,0,0,4.2,-85.21685493,-6.40733538,0.37264566,-3.125637439,1,140.9719086,10.54834938,0.35732305,0.35732305,0.338124096
truck,2.789996506,3.617122864,114.9347351,473.3365042,95.90601649,120.3590963,11543.16148,1,0,0,8.670194609,-33.6960628,5.134503785,1.595603589,3.125100734,3,153.3388824,11.8009491,0.347754717,0.347754717,0.338477731
car,1.8,1.6,1746.232724,447.9302141,96.72759697,98.49325932,9527.016291,0,0,0,4.6921875,-20.15641613,-3.947563299,0.585005565,-0.059741908,2,152.7859802,11.47521496,0.345100254,0.345100254,0.340674162
rider,0.8,1.6,986.2287057,493.8856542,15.54258862,26,404.107304,1,0,0,1.6,-53.72052734,-58.95945671,-0.73492874,-2.622446539,6,152.1546478,10.39650917,0.348439693,0.348439693,0.340373307
